anime_id,title,year,description,anime_url,views,rating_average,rating_counts,rating_SHIKIMORI,rating_MAL,rating_WORLDART,rating_KINOPOISK,genres,min_age,season,anime_status,type,categoty_placement,global_placement
107,Богиня благословляет этот прекрасный мир,2016,"Казума Сато умер…. Но не успел он как следует загрустить по этому поводу, как перед ним возникла юная девушка, представившаяся богиней по имени Аква. Она объяснила, что парню предоставляется второй шанс – новая жизнь, да не простая – он отправится спасать МИР, правда, не свой, а альтернативный. Самое-то для человека, посвятившего всё своё свободное время в прошлой жизни видеоиграм. Согласился и славно, богиня Аква рада.… Один из бонусов – можно взять в новый мир одну способность или нечто материальное вроде оружия. Казума наш, совершенно неожиданно даже для себя, что уж там говорить, предпочёл взять с собой саму Акву. Выбор есть выбор, отказаться ну никак нельзя. И отправляются богиня и юный герой рука об руку в Неизведанный мир!",etot-zamechatel-nyj-mir,802116,8.3753235545929,5795,8.0639470077661,8.09,8.2,7.7,"Сёнэн, Этти, Комедия, Пародия, Приключения, Фэнтези, Параллельный мир, Исэкай",PG-13 (от 13 лет),1,вышел,Сериал,211,285
108,Дэми-тян хочет рассказать,2017,"- школьная комедия о буднях Такахаши Тэцуо, получившего должность учителя биологии четыре года назад. Он внезапно обнаруживает, что в школе появились суккуб, дуллахан, вампир и снежная дева, так называемые ""полулюди"", наделённые исключительными нечеловеческими качествами.",bok-o-bok-s-polulyud-mi,68491,7.69949066145162,589,7.69441648410208,7.51,7.9,6.9,"Сэйнэн, Комедия, Фэнтези, Вампиры, Призраки, Суккубы, Школьная жизнь, Полулюди",PG-13 (от 13 лет),1,вышел,Сериал,2858,7237
109,Большой первоклассник и маленькая второклассница,2014,"Первоклашка Масая плакса и боится ходить в школу, ведь эта дорога пролегает по тёмным местам. Но он справляется со своими страхами благодаря второклашке по имени Акию, которая всегда держит его за руку. Мальчик восхищается ей и хочет стать таким же сильным, но, однажды, вдруг застаёт Акию в слезах. Чтобы поднять ей настроение Масая идёт в поход в лес, чтобы найти пятнистые колокольчики, которые так любит девочка.",bol-shoj-pervoklassnik-i-malen-kaya-vtoroklassnica,16974,6.673913043,46,6.87258687258687,6.46,7.1,0,Приключения,PG (для детей),1,вышел,Полнометражный фильм,1168,7419
110,Боруто: Фильм Наруто,2015,"Боруто — сын легендарного ниндзя Наруто Узумаки, который мечтает добиться такой же славы, как и его отец. Он непоседлив, невнимателен, но обладает очень сильным характером и нескончаемой энергией. Однако у Боруто есть одна главная проблема — он слишком уверен в себе и совсем не может работать в команде. Даже далеко не самое сложное задание по поимке медведя превращается для парня в игру, в которой главная роль отведена именно ему. Однажды Боруто встречает главного противника отца Саске Учиха, после чего просит Саске стать его учителем. Он не знает, одобрит ли его поступок родитель, но это становится не главной проблемой, поскольку его больше волнует жизнь отца, оказавшегося в плену...",boruto,57378,6.52881844346974,694,6.98449832031408,7.37,7.6,7.1,"Сёнэн, Комедия, Пародия, Приключения, Фэнтези, Экшен, Боевые искусства, Суперспособности",PG-13 (от 13 лет),3,вышел,Полнометражный фильм,1340,10074
111,Наруто,2002,"Это история, в которой рассказывается про мальчика-ниндзя. Он мечтает стать Хокаге: главой своей деревни. Но Хокаге – это самый мудрый и сильный ниндзя деревни, поэтому парень попытается преодолеть кучу испытаний, победить множество противников, заслужить уважение, подрасти морально и физически.
P.S. 202-я серия в версии Anidub без озвучки, её никто не озвучивал.
",naruto-tv-1,3932590,8.70462980980091,5119,8.41962149227757,8.02,8.1,7.8,"Сёнэн, Комедия, Убийцы, Приключения, Фэнтези, Экшен, Боевые искусства, Ниндзя, Суперспособности",PG-13 (от 13 лет),4,вышел,Сериал,61,84
112,Наруто: Найти тёмно-красный четырёхлистный клевер!,2003,"Внук Третьего Хокагэ, Конохамару, наконец-таки влюбился! Избранницей оказалась его одноклассница, Йошино Каэдэ. Но вот проблема: оказывается, её семья скоро покидает деревню по причине новой работы отца девочки. Чтобы Йошино осталась в Скрытой Деревне Листа, Конохамару хочет отыскать для неё легендарный тёмно-красный четырёхлистный клевер, который, по слухам, может исполнить одно любое желание.",naruto-najti-temno-krasnyj-chetyrehlistnyj-klever,68393,7.17523809444381,525,6.83885209713024,6.59,6.5,6.1,"Сёнэн, Комедия, Приключения",PG-13 (от 13 лет),2,вышел,Спешл,0,9632
114,Наруто: Великая Миссия! Защитить принцессу Страны снега,2004,"Фильм начинается с похода в кинотеатр Наруто, Саске и Сакуры, где они смотрели новый фильм про отважную принцессу Фуун. Наруто был настолько впечатлен фильмом, что захотел встретиться с этой прекрасной девушкой при первой же возможности.И его желание вскоре исполнилось... На съемках следующего фильма девушка проносится мимо него на лошади, спасаясь от разбойников. Наруто, не веря своему счастью, спасает ее, не понимая, что это была лишь актерская постановка.
Но по законам жанра, в реальной жизни актеры обычно оказываются совершенно другими людьми... И тут Наруто ждет большое разочарование, особенно когда он узнает, что их команде прийдется сопровождать актрису в страну Снега. Однако, не все так просто в этом фильме, ""лжепринцесса без чувств"" все таки окажется настоящей принцессой, за которую Наруто будет готов отдать свою жизнь.",naruto-film-pervyj,58790,7.65883807111001,809,7.28979947689625,7.13,7.7,6.7,"Сёнэн, Драма, Комедия, Приключения, Фэнтези, Альтернативная реальность, Экшен, Боевые искусства, Ниндзя, Суперспособности, Исторический, Сверхъестественное",PG-13 (от 13 лет),3,вышел,Полнометражный фильм,1242,8171
115,Наруто: Спортивный фестиваль Конохи,2004,"В Конохе проводится ежегодный спортивный фестиваль, главным призом которого станет неделя каникул. Наруто, Сакура и Саскэ собираются приложить все свои силы, чтобы одержать победу. Однако в самый неподходящий момент возникает непредвиденная ситуация, которая ставит под угрозу их участие в соревнованиях.",naruto-sportivnyj-festival-konohi,51199,7.13608247386392,485,6.96005917159763,6.86,7,6.6,"Сёнэн, Комедия, Фэнтези, Экшен, Боевые искусства, Спорт",PG-13 (от 13 лет),3,вышел,Спешл,0,9646
116,Наруто: Большое столкновение! Призрачные руины в глубине земли,2005,"Когда  с командой выполнял миссию по поимке хорька, на них вдруг неожиданно напали неизвестные ниндзя. Вскоре он узнаёт о великой силе, которой завладел один человек, после чего Наруто снова слышит о нём, потому что тот человек пытается завоевать весь мир. Естественно главный герой попытается остановить его.",naruto-fil-m-vtoroj,58575,7.28366762101433,698,6.93116909800699,6.88,7.1,6.5,"Сёнэн, Драма, Комедия, Приключения, Фэнтези, Экшен, Ниндзя, Суперспособности, Сверхъестественное",PG-13 (от 13 лет),3,вышел,Полнометражный фильм,1332,9587
1,Ведьма-неудачница: Фука и тёмная ведьма,2023,"Фука — неуклюжая принцесса, прозванная «Ведьмой-неудачницей». Случайно сняв печать с древнего браслета, она пробуждает Тёмную Ведьму, угрожающую миру. Чтобы исправить ошибку, Фука и её друзья Титосэ и Карин отправляются в опасное путешествие, где им предстоит сразиться со злом и обрести веру в себя.",22-7,46523,6.50909090858182,55,6.26771653543307,6.3,5.3,0,"Приключения, Фэнтези, Ведьмы",PG-13 (от 13 лет),1,вышел,Короткометражный фильм,1220,8236
2,5 сантиметров в секунду,2007,"Что происходит, когда два человека любят друг друга, однако судьбой им не уготовано быть вместе? Такаки Тоно с детства был близок с Акари Синохарой, но в средней школе из-за переезда семьи Акари в другой город дети вынуждены прекратить совместное времяпровождение и свести общение к телефонным разговорам и переписке, дав обещание поддерживать связь и в будущем. Однако время и жизнь порознь проложили между их сердцами расстояние гораздо больше территориального...

«Пять сантиметров в секунду» — это романтическая драма, уделяющая основное внимание обыденной и суровой реальности отношений на расстоянии. Застрявшие в прошлом, неспособные заполнить пустоту воспоминаний из детства новыми, Такаки и Акари остаётся лишь цепляться за надежду встретиться снова, влача унылые будни, причиняя боль себе и окружающим их людям в ожидании этого дня.",5-santimetrov-v-sekundu,236382,7.75159235608317,2669,7.74267979383746,7.55,8.8,7.8,"Сэйнэн, Драма, Романтика, Повседневность, Школьная жизнь",PG-13 (от 13 лет),2,вышел,Полнометражный фильм,1186,7574
