anime_id,title,anime_url,views,type,rating_avg
16090,Гипнотический микрофон: Рэп-баттл дивизионов. Фильм,gipnoticheskiy-mikrofon-rep-battl-divizionov-film,6 736,Полнометражный фильм,8.67
16084,"Привет, Китти: Биг-Бен остановился",privet-kitti-big-ben-ostanovilsya,4 284,OVA,6.60
16083,По велению адской сестры: Секретное видео Марии,po-veleniyu-adskoy-sestri-sekretnoe-video-marii,49 512,Спешл,6.89
16067,Лагерь на свежем воздухе 4,lager-na-svezhem-vozduhe-4,8 757,Сериал,0.00
16061,Моя мелодия: Красная Шапочка OVA,moya-melodiya-krasnaya-shapochka-ova,3 963,OVA,6.63
16050,Манящие горы 2: Спецвыпуски,manyashchie-gori-spetsvipuski,7 200,Спешл,7.32
16049,Огненный дом,ognenniy-dom,4 397,Короткометражный фильм,5.92
16043,По велению адской сестры: Взрыв — Спецвыпуски,po-veleniyu-adskoy-sestri-vzriv-spetsvipuski,37 876,Спешл,6.74
16042,Отель для нелюдей,otel-dlya-nelyudey,65 279,Сериал,6.62
16011,Импульс валькирии: Русалочка Спецвыпуск,impuls-valkirii-rusalochka-spetsvipusk,24 039,Спешл,6.96
16010,"Пожалуйста, Моя Мелодия",pozhaluysta-moya-melodiya,20 495,Сериал,7.67
15989,Дело Арне,delo-arne,151 576,Сериал,6.51
15988,Обычные дни Яно,obychnye-dni-yano,128 848,Сериал,7.20
15987,Сказания об уничтожении демонов,skazaniya-ob-unichtozhenii-demonov,13 636,ONA,4.26
15981,Юный попаданец остаётся на том же уровне,isekai-munchkin-hp1-no-mama-de-saikyou-saisoku-dungeon-kouryaku,115 005,Сериал,0.00
15960,Скелтер+Небо,skelter-nebo,7 850,OVA,4.46
15949,Восходящий удар 2,voshodyaschiy-udar-2024,8 932,ONA,7.76
15937,Клинок и ублюдок,klinok-ublyudok,18 441,Не важно,0.00
15936,Монстр хочет съесть меня,monstr-hochet-sjest-menya,239 034,Сериал,7.23
15935,Святой Грааль Эрис,svyatoy-graal-eris,305 035,Сериал,8.06
15924,"Действуй, Накамура!",deystvuy-nakamura,242 651,Сериал,7.42
15923,"Этот герой неуязвим, но очень осторожен: Рекап",ostorozhniy-geroy-bez-togo-silneyshiy-on-slishkom-ostorozhen-rekap,27 306,Спешл,6.50
15922,Юный лорд — мастер побега: Рекап — История 1333-1334 годов,yuniy-lord-master-pobega-rekap-istoriya-1333-1334-godov,12 538,Спешл,6.92
15921,Военная хроника Ромелии,voennaya-hronika-romelii,12 463,Сериал,0.00
15915,Боевая инверсия,wu-ni,13 680,ONA,4.71
15909,Становясь волшебницей 2,stanovyas-volshebnitsey-2,115 883,Сериал,0.00
15908,Демон,demon,5 489,Короткометражный фильм,6.74
15867,Кае не страшно,kaya-chan-wa-kowakunai,187 893,Сериал,8.28
15851,Хеллсинг: Псалом Тьмы,hellsing-psalom-tmi,43 185,Спешл,6.53
15850,Ла-ла-ла Дэмасия,la-la-la-demasiya,7 051,ONA,4.20
15847,Хвост Феи: Столетний квест — Дневник Люси,hvost-fei-stoletniy-kvest-dnevnik-lyusi,35 109,Спешл,7.25
15846,Полное затмение — Рекап,polnoe-zatmenie-rekap,9 921,Спешл,6.63
15845,Усио и Тора: Театр комедии,usio-tora-ova,7 678,OVA,6.32
15834,"Юно: Девушка, что воспевает любовь на грани этого мира — Спецвыпуск",yuno-devushka-chto-vospevaet-lyubov-na-grani-etogo-mira-spetsvipusk,15 045,Спешл,7.11
15713,Какой скандал! 2,kakoy-skandal-2,62 076,ONA,8.14
15672,Прекрасное путешествие Куроми 2,kuromi-s-pretty-journey-hacha-mecha-multiverse-daidasshutsu,5 265,ONA,7.57
15646,Лагерь на свежем воздухе 3 — Спецвыпуски,lager-na-svezhem-vozduhe-3-specvypuski,10 121,Спешл,7.57
15615,Я великий бог 3,ya-velikiy-bog-3,11 747,ONA,4.54
15599,Дай Гард — компания по спасению Земли,day-gard-kompaniya-po-spaseniyu-zemli,3 895,Сериал,6.20
15583,Леди со странным вкусом и безумный герцог: Я с удовольствием съем этого монстра!,akujiki-reijou-to-kyouketsu-koushaku-sono-mamono-watashi-ga-oishiku-itadakimasu,854 691,Сериал,7.74
15582,Мир бессмертных,chang-sheng-jie,49 040,ONA,6.46
15576,Живая любовь! Клуб идолов старшей школы Нидзигасаки. Фильм 2,zhivaya-lyubov-klub-idolov-starshey-shkoly-nidzigasaki-film-2,7 073,Полнометражный фильм,8.00
15575,"Соседнему королевству продали святую, помолвку которой разорвали из-за того, что она стала слишком совершенной",sosednemu-korolevstvu-prodali-svyatuyu-pomolvku-kotoroy-razorvali-iz-za-togo-chto-ona-stala-slishkom-sovershennoy,517 327,Сериал,7.51
15574,Я злой лорд межгалактической империи!,ya-zloy-lord-mezhgalakticheskoy-imperii,647 435,Сериал,7.83
15568,Живая любовь! Клуб идолов старшей школы Нидзигасаки. Фильм 3,zhivaya-lyubov-klub-idolov-starshey-shkoly-nidzigasaki-film-3,4 445,Полнометражный фильм,0.00
15552,Начало после конца,chto-budet-delat-silneyshiy-korol-v-svoey-vtoroy-zhizni,1 320 929,Сериал,6.97
15551,Мое просветление бесконечно,moe-prosvetlenie-beskonechno,32 657,ONA,5.83
15526,Старшая карта: Цветение,starshaya-karta-cvetenie,9 628,ONA,7.13
15524,"Непонятый мастер ателье: Обычная история о бывшем помощнике в отряде героя, чьи навыки, кроме боевых, достигли SSS-ранга",kanchigai-no-atelier-meister-eiyuu-party-no-moto-zatsuyougakari-ga-jitsu-wa-sentou-igai-ga-sss-rank-datta-to-iu-yoku-aru-hanashi,553 732,Сериал,6.28
15523,Могущественные ученики,tudi-ge-ge-shi-da-lao,28 196,ONA,5.72
15502,Пойдём в караоке!,poydem-v-karaoke,116 556,Сериал,8.59
15497,Киллтуб,killtube,12 989,Полнометражный фильм,0.00
15494,Там нет другого,muchuu-sa-kimi-ni,55 345,Сериал,7.77
15472,"Подземелье и девушка-воин, преодолевающая границы",podzemele-i-devushka-voin-preodolevayuschaya-granicy,13 760,ONA,5.52
15421,Ван-Пис: Остров Рыболюдей,van-pis-ostrov-rybolyudey,58 240,Сериал,7.58
15395,Моя геройская академия 8,moya-geroyskaya-akademiya-final,2 320 037,Сериал,9.04
15364,Обычный роман в Цзюлуне,kowloon-generic-romance,360 426,Сериал,8.18
15358,История Нуи 2,istoriya-nui-2,2 925,ONA,5.50
15332,Предложение отпуска для скромного дворянина,predlozhenie-otpuska-dlya-skromnogo-dvoryanina,475 515,Сериал,7.12
15321,Захват мира кайдзю,kaijuu-sekai-seifuku-tv,22 560,Малометражный сериал,6.90
15270,Юный лорд — мастер побега 2,nige-jouzu-no-wakagimi-2nd-season,15 771,Сериал,0.00
15269,Звёздное дитя 3,rebenok-idola-3,2 201 851,Сериал,9.17
15268,Операция: Семейка Ёдзакура 2,operaciya-semeyka-edzakura-2,206 766,Сериал,8.83
15267,Сильваниан Фэмилиз: Частица тайны Фрейи,sylvanian-families-freya-no-piece-of-secret,3 357,Малометражный сериал,6.00
15261,Континент силы и духа,kontinent-sily-i-duha,76 878,ONA,5.78
15260,Идолмастер: Блестящие цвета 2 — SHHis,idolmaster-blestyaschie-cveta-2-shhis,3 717,OVA,2.00
15234,Блич: Джамп Феста 2008,blich-dzhamp-festa-2008,17 198,OVA,6.74
15233,"Блич: Ура, Рукия спасена! Избранное! Десятка лучших битв синигами! Мы покажем ваших самых любимых синигами!",blich-ura-rukiya-spasena-izbrannoe-desyatka-luchshih-bitv-sinigami-mi-pokazhem-vashih-samih-lyubimih-sinigami,19 495,Спешл,7.08
15232,Блич: Джамп Феста 2004,blich-dzhamp-festa-2004,21 711,Спешл,6.81
15221,Внутри дыры,ana-no-naka,3 876,Спешл,3.13
15210,Горничные Ханаукё OVA,gornichnye-hanauke-ova,10 145,OVA,6.52
15209,Принцесса-рыцарь — невеста варвара,himekishi-wa-barbaroi-no-yome,1 144 844,Сериал,8.36
15193,Ван-Пис: Письмо от поклонника,one-piece-fan-letter,118 301,Спешл,9.05
15192,Твоё письмо,tvoe-pismo,18 542,Полнометражный фильм,8.50
15181,Юный генерал,yunyy-general,10 379,Сериал,3.30
15175,Re:Zero. Перерыв с нуля 3,re-zero-pereryv-s-nulya-3,110 435,Спешл,7.21
15154,"Журнал мононокэ, автор Тюдзэндзи",zhurnal-mononoke-avtor-tyudzendzi,29 370,Сериал,7.25
15133,Ми-ми-ми-мишка 2: Мини-аниме — День спорта,mi-mi-mi-mishka-mini-anime-den-sporta,11 171,Спешл,5.98
15132,Принц драконов 7,prints-drakon-7,13 993,ONA,6.66
